fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id,fixed acidity_std,volatile acidity_std,citric acid_std,residual sugar_std,chlorides_std,free sulfur dioxide_std,total sulfur dioxide_std,density_std,pH_std,sulphates_std,alcohol_std
8.3,0.28,0.48,2.1,0.09300000000000001,6.0,12.0,0.99408,3.26,0.62,12.4,7,947,-0.025421375707951537,-1.3753353743761938,1.0779801500043076,-0.32991217928646394,0.16228557863060772,-0.9232182712365813,-1.0488126840318,-1.364262783980552,-0.3019954634184738,-0.2053551335372225,1.8174628682576242
7.0,0.62,0.18,1.5,0.062,7.0,50.0,0.9951,3.08,0.6,9.3,5,439,-0.7659880629984183,0.4913872894477812,-0.45860734183529495,-0.7313771204894111,-0.5949453432958403,-0.826798608444249,0.130086045685407,-0.8416696096942137,-1.4530634023348339,-0.3224500065449048,-1.0621767466744838
11.2,0.67,0.55,2.3,0.084,6.0,13.0,1.0,3.17,0.71,9.5,6,507,1.6266120036323186,0.7659053282454249,1.4365172314335484,-0.1960905322188151,-0.0575556567673934,-0.9232182712365813,-1.017789033249768,1.6688270118773676,-0.8775294328766539,0.3215717949973473,-0.8763935457111226
7.3,0.44,0.2,1.6,0.049,24.0,64.0,0.9935,3.38,0.57,11.7,6,1271,-0.59508805823908,-0.496877650223735,-0.3561681757126547,-0.6644662969555866,-0.912493794426286,0.8123356590253993,0.5644171566338516,-1.661423608574694,0.4653831625257683,-0.4980923160564283,1.1672216648858567
15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,243,3.7913453972506055,-1.7596606286928949,0.8731018177590273,-0.26300135575263933,-0.27739689216539454,-0.5375396200672522,-0.6765288746474187,1.6944443243424376,-1.5170116211635223,1.0826884695472818,-1.155068347156166
8.6,0.635,0.68,1.8,0.40299999999999997,19.0,56.0,0.9963200000000001,3.02,1.15,9.3,5,1260,0.14547862905138623,0.5737427010870743,2.1023718112307095,-0.5306446498879375,7.734594797895083,0.33023734506373803,0.31622795037759754,-0.21660718554776562,-1.836752715306955,2.897659001166356,-1.0621767466744838
6.8,0.785,0.0,2.4,0.10400000000000001,14.0,30.0,0.9966,3.52,0.55,10.7,6,77,-0.879921399504644,1.3972968174800047,-1.3805598369390564,-0.12917970868499049,0.430980421894831,-0.15186096889792322,-0.49038696995522824,-0.07315023574370288,1.360658226127384,-0.61518718906411,0.23830566006904763
9.0,0.45,0.49,2.6,0.084,21.0,75.0,0.9987,3.35,0.57,9.7,5,592,0.37334530206383765,-0.4419740424642063,1.1291997330656276,0.004641938382658657,-0.0575556567673934,0.5230766706484026,0.905677315236201,1.0027768877869667,0.2735385060397092,-0.4980923160564283,-0.6906103447477615
10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,6,250,1.3987453306198683,-1.155720943338079,0.8731018177590273,-0.6644662969555866,-0.570518539362729,0.040978356686741275,-0.2732214144810059,0.9003076379269137,-0.5577883387332183,0.7314038505242354,-0.4119355433027181
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,164,-0.59508805823908,0.32667646616919505,-0.048850677344734195,3.082539820938586,-0.39953091183095035,1.872951949741054,2.332765251209662,0.695369138206751,0.4014349436970828,-0.9664718080871569,-0.9692851461928033
6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.9929399999999999,3.36,0.62,12.2,6,1044,-1.1077880725170948,-0.7713956890213783,0.30968640408450643,0.4730177031194301,-0.9857742062256197,-0.3447002944825877,0.22315699803150227,-1.9483375081829333,0.3374867248683946,-0.2053551335372225,1.6316796672942613
7.5,0.41,0.15,3.7,0.10400000000000001,29.0,94.0,0.9978600000000001,3.14,0.58,9.1,5,1138,-0.4811547217328543,-0.6615884735023212,-0.6122660910192552,0.7406609972547284,0.430980421894831,1.2944339729870606,1.4951266800948044,0.5724060383747216,-1.069374089362713,-0.43954487955258714,-1.2479599476378467
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,5,1415,-1.2217214090233206,0.2717728584096663,-1.3805598369390564,-0.6644662969555866,-0.5216649314965065,-0.7303789456519167,-0.8626707793396093,-0.07315023574370288,1.6164511014421312,1.0826884695472818,-0.9692851461928033
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,131,-1.5635214185419977,-0.16745600366656294,-0.9195835893871757,-0.1960905322188151,-0.912493794426286,0.13739801947907354,1.6502449340049632,-1.558954358714641,2.0640886332429376,-0.14680769703338134,2.374812471147709
7.8,0.34,0.37,2.0,0.08199999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,6,220,-0.31025471697351603,-1.0459137278190216,0.5145647363297866,-0.39682300282028854,-0.10640926463361622,0.8123356590253993,0.37827525194166106,-0.1756194856038127,0.2095902872110209,-0.380997443048746,-0.9692851461928033
6.8,0.62,0.08,1.9,0.068,28.0,38.0,0.99651,3.42,0.82,9.5,6,1593,-0.879921399504644,0.4913872894477812,-0.9708031724484957,-0.4637338263541131,-0.44838451969717286,1.1980143101947283,-0.24219776369897414,-0.11926139818074946,0.7211760378405156,0.9655935965395994,-0.8763935457111226
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.9947799999999999,3.19,0.46,11.4,5,1181,0.8290786480887404,-0.7713956890213783,0.8218822346977072,-0.6310108851886744,-0.44838451969717286,-1.0196379340289135,-1.0798363348138316,-1.0056204094703667,-0.7496329952192802,-1.1421141175986802,0.888546863440815
7.8,0.82,0.29,4.3,0.083,21.0,64.0,0.9964200000000001,3.16,0.53,9.4,5,1501,-0.31025471697351603,1.5894594446383545,0.10480807183922591,1.1421259384576754,-0.08198246070050463,0.5230766706484026,0.5644171566338516,-0.16537256061773914,-0.9414776517053393,-0.7322820620717924,-0.9692851461928033
6.0,0.51,0.0,2.1,0.064,40.0,54.0,0.995,3.54,0.93,10.7,6,1409,-1.3356547455295462,-0.1125523959070342,-1.3805598369390564,-0.32991217928646394,-0.5460917354296178,2.3550502637027155,0.254180648813534,-0.8929042346242401,1.4885546637847575,1.6096153980818522,0.23830566006904763
7.2,0.52,0.07,1.4,0.07400000000000001,5.0,20.0,0.9973,3.32,0.81,9.6,6,658,-0.6520547264921925,-0.05764878814750547,-1.0220227555098158,-0.7982879440232357,-0.3018236960985054,-1.0196379340289135,-0.8006234777755458,0.2854921387664824,0.08169384955364724,0.9070461600357589,-0.783501945229442
9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,7,318,0.8290786480887404,0.7110017204858962,0.6170039024524269,0.4061068795856058,-0.08198246070050463,0.5230766706484026,0.40929890272369285,1.1052461376470195,0.4014349436970828,0.3215717949973473,0.9814384639224956
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,175,-0.8229547312515308,-0.16745600366656294,-1.175681504693776,-0.7313771204894111,-0.033128852834282164,0.33023734506373803,0.09906239490337522,-0.4830272351839715,0.2735385060397092,0.7314038505242354,-0.8763935457111226
8.6,0.685,0.1,1.6,0.092,3.0,12.0,0.99745,3.31,0.65,9.55,6,1395,0.14547862905138623,0.848260739884718,-0.8683640063258555,-0.6644662969555866,0.13785877469749616,-1.212477259613578,-1.0488126840318,0.3623440761615221,0.01774563072496182,-0.029712824025699015,-0.8299477454702815
10.9,0.39,0.47,1.8,0.11800000000000001,6.0,14.0,0.9982,3.3,0.75,9.8,6,342,1.455711998872981,-0.7713956890213783,1.0267605669429873,-0.5306446498879375,0.772955676958388,-0.9232182712365813,-0.9867653824677364,0.7466037631367775,-0.04620258810372643,0.5557615410127119,-0.5977187442660793
7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.9966799999999999,3.39,0.54,9.6,5,769,-0.2532880487204029,1.0404233670430678,-1.3293402538777364,-0.4637338263541131,-0.2529700882322833,-0.826798608444249,-0.4283396683911647,-0.03216253579974997,0.5293313813544566,-0.6737346255679512,-0.783501945229442
7.4,0.39,0.48,2.0,0.08199999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,5,186,-0.5381213899859669,-0.7713956890213783,1.0779801500043076,-0.39682300282028854,-0.10640926463361622,-0.15186096889792322,0.6574881089799469,0.2342575138364559,0.2095902872110209,-0.61518718906411,-1.155068347156166
6.6,0.44,0.09,2.2,0.063,9.0,18.0,0.99444,3.42,0.69,11.3,6,1530,-0.9938547360108696,-0.496877650223735,-0.9195835893871757,-0.26300135575263933,-0.570518539362729,-0.6339592828595845,-0.8626707793396093,-1.1798181342324225,0.7211760378405156,0.204476921989665,0.7956552629591345
7.8,0.46,0.26,1.9,0.08800000000000001,23.0,53.0,0.9981,3.43,0.74,9.2,6,388,-0.31025471697351603,-0.38707043470467756,-0.048850677344734195,-0.4637338263541131,0.04015155896505154,0.715915996233067,0.22315699803150227,0.695369138206751,0.7851242566692038,0.49721410450887077,-1.155068347156166
7.1,0.59,0.02,2.3,0.08199999999999999,24.0,94.0,0.99744,3.55,0.53,9.7,6,768,-0.7090213947453057,0.32667646616919505,-1.2781206708164163,-0.1960905322188151,-0.10640926463361622,0.8123356590253993,1.4951266800948044,0.3572206136685422,1.552502882613443,-0.7322820620717924,-0.6906103447477615
8.8,0.7,0.0,1.7,0.069,8.0,19.0,0.9970100000000001,3.31,0.53,10.0,6,762,0.2594119655576124,0.9306161515240104,-1.3805598369390564,-0.5975554734217621,-0.4239577157640616,-0.7303789456519167,-0.8316471285575776,0.13691172646943975,0.01774563072496182,-0.7322820620717924,-0.4119355433027181
7.3,0.67,0.02,2.2,0.07200000000000001,31.0,92.0,0.99566,3.32,0.68,11.066666666666698,6,1439,-0.59508805823908,0.7659053282454249,-1.2781206708164163,-0.26300135575263933,-0.3506773039647279,1.487273298571725,1.433079378530741,-0.5547557100860313,0.08169384955364724,0.14592948548582446,0.5789081951685745
12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49,9.5,5,435,2.2532453544165603,-0.7713956890213783,1.846273895924109,-0.1960905322188151,0.11343197076438491,-0.9232182712365813,-0.8626707793396093,1.8737655115974734,-0.9414776517053393,-0.9664718080871569,-0.8763935457111226
11.5,0.315,0.54,2.1,0.084,5.0,15.0,0.9987,2.98,0.7,9.2,6,464,1.7975120083916576,-1.1831727472178435,1.3852976483722284,-0.32991217928646394,-0.0575556567673934,-1.0196379340289135,-0.9557417316857046,1.0027768877869667,-2.0925455906217025,0.26302435849350614,-1.155068347156166
7.0,0.38,0.49,2.5,0.09699999999999999,33.0,85.0,0.9962,3.39,0.77,11.4,6,527,-0.7659880629984183,-0.8262992967809071,1.1291997330656276,-0.06226888515116592,0.259992794363052,1.6801126241563895,1.2159138230565185,-0.27808873546386564,0.5293313813544566,0.6728564140203943,0.888546863440815
7.5,0.63,0.27,2.0,0.083,17.0,91.0,0.99616,3.26,0.58,9.8,6,1315,-0.4811547217328543,0.54629089720731,0.0023689057165859353,-0.39682300282028854,-0.08198246070050463,0.13739801947907354,1.4020557277487091,-0.2985825854358421,-0.3019954634184738,-0.43954487955258714,-0.5977187442660793
12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,5,363,2.367178690922785,-0.38707043470467756,1.846273895924109,-0.39682300282028854,-0.3751041078978395,-0.9232182712365813,-0.9557417316857046,1.0540115127169931,-2.028597371793014,1.2583307790588052,-0.2261523423393569
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,6,1220,1.455711998872981,-1.155720943338079,1.282858482249588,-0.5306446498879375,1.114930932021945,0.13739801947907354,-0.05605585900678357,0.30598598873851574,-0.17409902576110012,0.6728564140203943,0.9814384639224956
8.1,0.78,0.23,2.6,0.059000000000000004,5.0,15.0,0.997,3.37,0.56,11.3,5,683,-0.13935471221417772,1.3698450136002402,-0.20250942652869444,0.004641938382658657,-0.6682257550951738,-1.0196379340289135,-0.9557417316857046,0.13178826397640298,0.4014349436970828,-0.5566397525602689,0.7956552629591345
